,Status,Gender,Education,Income,Card Type,Months_Inactive_12_mon,Total_Revolving_Bal,Avg_Utilization_Ratio,MaritalDependentRatio,CreditUsage,AvgTransValue,TenureByAge
294,1,0,2,3,0,3,1814,0.078,0.17,0.92,47.27,0.73
295,1,0,1,1,0,1,837,0.255,1.0,0.74,49.1,0.6
296,1,0,1,1,0,3,2217,0.716,0.33,0.28,49.05,0.85
297,1,1,1,1,0,2,1250,0.609,1.0,0.39,38.97,0.84
299,1,0,1,1,0,3,1418,0.15,0.12,0.85,50.73,0.85
300,1,0,1,4,1,2,2303,0.154,0.5,0.85,35.15,0.9
301,1,0,0,3,0,3,1343,0.605,0.33,0.4,44.6,0.8
302,1,0,3,3,0,3,1577,0.275,0.12,0.72,59.77,0.79
303,1,0,2,3,3,2,2061,0.06,0.2,0.94,42.19,0.69
304,1,0,0,3,0,2,1130,0.162,0.25,0.84,38.5,0.63
309,1,1,0,0,0,1,2475,0.256,0.2,0.74,45.16,0.84
310,1,0,1,1,0,2,930,0.186,0.33,0.81,37.5,0.57
312,1,0,0,3,0,2,0,0.0,0.17,1.0,40.83,0.75
316,1,0,1,3,0,3,2169,0.412,0.25,0.59,45.15,0.81
318,1,1,1,0,0,2,2070,0.732,0.2,0.27,36.61,0.88
319,1,0,1,2,0,5,1539,0.123,0.33,0.88,35.3,0.76
322,1,1,0,0,0,1,1926,0.2,0.17,0.8,49.23,0.75
323,1,0,1,2,1,3,2177,0.063,0.17,0.94,53.65,0.77
325,1,0,1,3,0,3,2517,0.771,0.25,0.23,52.66,0.76
326,1,0,0,4,0,2,1355,0.224,0.5,0.78,35.65,0.64
327,1,1,3,0,0,3,1823,0.795,0.33,0.2,53.0,0.82
332,1,1,0,0,0,1,1605,0.625,0.1,0.38,25.87,0.79
335,1,0,1,4,0,3,1844,0.557,0.5,0.44,54.38,0.68
338,1,1,1,0,0,2,2321,0.846,0.25,0.15,43.41,0.68
339,1,0,1,0,0,3,1571,0.756,0.5,0.24,35.92,0.85
341,1,0,0,3,0,3,1560,0.2,0.33,0.8,63.28,0.9
343,-1,0,0,1,0,4,537,0.373,0.5,0.63,55.0,0.62
344,1,0,1,2,0,1,1710,0.105,1.0,0.9,52.08,0.67
346,1,1,1,0,0,1,2439,0.935,0.25,0.07,50.91,0.81
347,1,0,1,3,0,3,1173,0.155,0.17,0.84,44.84,0.87
348,1,0,1,3,0,3,2517,0.111,0.17,0.89,49.53,0.8
349,1,1,0,0,0,1,1648,0.435,1.0,0.57,60.53,0.81
351,1,1,1,0,0,1,2117,0.829,0.12,0.17,41.69,0.88
354,1,0,0,1,0,3,1375,0.953,0.25,0.05,52.39,0.89
356,1,0,0,3,0,2,1503,0.188,0.5,0.81,44.46,0.61
357,1,0,0,3,0,2,2517,0.135,0.12,0.86,39.12,0.65
359,1,0,0,2,0,3,2165,0.063,0.33,0.94,52.25,0.83
360,1,1,0,0,0,3,0,0.0,0.5,1.0,35.1,0.86
362,1,0,1,4,0,3,2274,0.066,0.1,0.93,38.19,0.9
369,1,0,1,4,0,3,1785,0.09,0.33,0.91,49.8,0.78
370,1,0,0,3,0,3,793,0.035,1.0,0.97,40.81,0.69
373,1,1,1,0,0,5,1411,0.885,0.2,0.11,41.69,0.67
374,1,1,1,0,0,2,1403,0.546,0.25,0.45,37.33,0.78
376,1,0,1,1,0,3,1766,0.569,0.2,0.43,56.38,0.76
378,1,0,0,2,0,2,1955,0.08,0.5,0.92,62.36,0.57
379,1,1,1,0,3,2,726,0.047,0.12,0.95,45.68,0.9
383,1,0,1,3,0,3,2381,0.329,0.33,0.67,61.78,0.65
384,1,1,1,0,0,3,1576,0.678,0.5,0.32,34.38,0.91
391,1,1,2,0,0,1,2008,0.512,0.12,0.49,59.96,0.64
392,1,0,1,3,0,1,1233,0.134,0.25,0.87,56.07,0.64
394,1,1,3,1,0,3,1346,0.692,0.5,0.31,34.39,0.78
395,1,0,0,1,0,1,1554,0.162,0.12,0.84,30.37,0.86
398,1,0,1,4,0,3,2233,0.587,1.0,0.41,64.56,0.89
399,1,0,0,2,0,2,1306,0.478,0.25,0.52,29.21,0.71
401,-1,0,0,4,0,3,1120,0.361,0.33,0.64,40.18,0.7
402,1,0,2,2,0,3,0,0.0,0.25,1.0,36.22,0.88
404,1,0,1,4,0,5,2094,0.07,0.33,0.93,43.04,0.75
406,-1,0,2,3,0,3,0,0.0,0.25,1.0,55.56,0.81
408,1,0,2,4,1,2,1254,0.036,0.2,0.96,54.64,0.61
410,1,0,0,1,0,3,1675,0.539,0.5,0.46,39.79,0.73
412,1,0,3,3,0,3,1954,0.15,0.12,0.85,48.75,0.65
414,1,0,1,1,1,2,1249,0.077,0.25,0.92,36.3,0.77
415,1,0,3,3,0,2,1965,0.243,0.33,0.76,51.12,0.78
418,1,0,0,3,0,3,1454,0.168,0.17,0.83,57.4,0.82
422,1,0,1,3,0,2,0,0.0,1.0,1.0,55.79,0.57
424,1,1,2,0,1,2,1930,0.179,0.2,0.82,65.75,0.84
425,1,0,1,1,0,3,1001,0.145,0.25,0.85,88.64,0.82
426,-1,0,0,3,0,3,1299,0.093,0.17,0.91,39.15,0.92
427,1,0,1,2,0,1,1916,0.064,0.2,0.94,47.14,0.71
428,1,0,1,4,0,1,0,0.0,0.25,1.0,45.71,0.8
433,1,1,2,0,0,3,0,0.0,0.17,1.0,31.12,0.72
434,1,0,1,3,0,1,0,0.0,0.5,1.0,38.84,0.84
436,1,1,0,1,0,1,2081,0.146,0.2,0.85,35.93,0.77
438,1,0,4,3,0,2,1727,0.075,0.1,0.93,41.33,0.85
444,1,1,2,1,0,2,1469,0.708,0.33,0.29,52.16,0.64
447,-1,1,0,0,0,1,1518,0.766,0.17,0.23,38.92,0.85
450,1,0,1,2,0,3,1143,0.039,0.25,0.96,56.81,0.8
454,1,1,1,0,0,1,0,0.0,0.1,1.0,33.49,0.76
455,-1,0,0,2,0,3,0,0.0,0.33,1.0,37.4,0.68
456,1,0,0,2,0,2,1565,0.053,0.25,0.95,42.24,0.77
457,1,1,3,0,0,1,1910,0.381,0.33,0.62,48.36,0.61
458,1,1,1,0,0,1,1074,0.312,0.5,0.69,34.65,0.89
462,1,0,0,0,0,2,1654,0.428,0.1,0.57,35.0,0.64
467,-1,1,0,0,0,3,2517,0.85,0.17,0.15,29.97,0.56
469,1,0,0,3,0,3,1138,0.517,0.25,0.48,37.47,0.75
470,1,1,3,0,0,3,1483,0.72,1.0,0.28,40.0,0.68
472,1,0,0,4,0,2,896,0.056,0.17,0.94,38.48,0.71
473,-1,0,2,4,0,2,0,0.0,0.17,1.0,46.71,0.89
475,-1,1,3,0,0,3,0,0.0,0.12,1.0,36.88,0.9
476,1,1,1,1,0,3,2235,0.436,0.12,0.56,27.57,0.9
478,1,0,1,1,0,1,0,0.0,0.25,1.0,29.29,0.79
480,1,0,0,2,0,3,1597,0.046,0.17,0.95,31.92,0.78
483,1,1,3,0,0,3,1972,0.523,0.2,0.48,61.12,0.8
485,1,1,1,1,0,1,774,0.403,0.12,0.6,45.61,0.83
488,1,1,2,0,0,2,1529,0.671,0.25,0.33,52.91,0.92
489,1,0,2,1,0,1,0,0.0,0.25,1.0,58.09,0.84
490,1,0,1,2,0,1,1351,0.044,0.25,0.96,67.84,0.75
491,1,0,1,2,0,1,1923,0.079,0.12,0.92,44.25,0.89
493,1,1,2,0,0,1,0,0.0,1.0,1.0,36.96,0.74
495,1,0,1,2,0,1,1112,0.194,0.2,0.81,40.04,0.81
497,1,0,2,1,0,3,1603,0.221,0.25,0.78,36.11,0.81
499,1,1,2,0,0,2,1257,0.476,0.5,0.52,36.9,0.64
501,1,0,1,2,0,3,809,0.048,0.5,0.95,58.09,0.82
502,1,1,2,1,0,1,1672,0.179,0.12,0.82,35.67,0.85
503,1,1,2,0,0,1,2517,0.911,0.08,0.09,40.19,0.77
504,1,0,0,3,0,3,1044,0.06,0.25,0.94,46.22,0.88
505,1,1,1,0,0,2,2493,0.78,0.5,0.22,44.0,0.55
506,1,0,3,2,0,3,1786,0.35,0.1,0.65,37.7,0.76
507,1,0,3,3,0,1,2517,0.636,0.25,0.36,49.52,0.7
508,1,1,1,0,0,3,1985,0.632,0.5,0.37,39.66,0.77
510,1,1,0,0,0,3,0,0.0,0.17,1.0,43.0,0.84
512,1,0,1,3,0,2,1535,0.24,0.17,0.76,34.3,0.78
515,1,1,2,0,0,2,1084,0.255,0.1,0.75,37.93,0.79
522,-1,0,2,2,0,3,1799,0.148,0.5,0.85,65.57,0.81
523,1,0,1,2,3,2,2113,0.061,0.12,0.94,43.94,0.91
524,1,0,1,4,0,3,1013,0.029,0.2,0.97,33.03,0.65
525,1,0,0,3,0,1,0,0.0,0.1,1.0,42.62,0.76
528,1,0,1,1,1,3,1513,0.076,0.12,0.92,34.15,0.88
529,1,1,1,1,0,3,838,0.169,0.25,0.83,46.53,0.76
531,1,0,2,2,0,2,2332,0.108,0.17,0.89,35.49,0.89
532,1,0,1,3,0,2,1412,0.257,0.5,0.74,33.95,0.84
536,1,0,1,4,0,3,1692,0.231,0.25,0.77,42.52,0.78
540,1,0,1,1,0,1,2517,0.197,0.33,0.8,29.76,0.78
541,1,0,2,2,0,3,1601,0.061,0.2,0.94,44.25,0.75
543,1,1,3,0,0,1,2259,0.458,0.33,0.54,41.4,0.86
544,1,1,2,0,0,3,0,0.0,0.17,1.0,41.78,0.92
548,-1,1,3,0,0,3,0,0.0,0.33,1.0,34.79,0.86
549,-1,0,1,3,0,2,0,0.0,0.5,1.0,40.61,0.61
553,1,0,2,3,0,3,1040,0.054,0.5,0.95,34.88,0.6
559,-1,0,1,3,0,3,0,0.0,1.0,1.0,56.62,0.9
561,1,0,0,0,0,3,1728,0.719,0.5,0.28,31.13,0.88
562,1,1,4,0,0,1,1999,0.216,0.12,0.78,39.08,0.78
564,-1,0,2,1,0,5,0,0.0,0.33,1.0,44.76,0.88
567,1,0,1,3,0,3,1034,0.32,0.1,0.68,43.31,0.73
569,1,0,0,4,1,2,1938,0.056,0.17,0.94,27.0,0.56
570,1,0,0,4,0,6,1961,0.099,0.2,0.9,38.69,0.67
576,1,1,4,0,0,2,1184,0.214,0.33,0.79,35.16,0.74
577,1,0,4,3,0,1,706,0.036,0.2,0.96,19.14,0.77
578,1,1,1,0,0,2,1412,0.482,0.33,0.52,56.69,0.86
579,1,1,2,1,0,3,1618,0.314,0.25,0.69,44.43,0.62
580,-1,0,2,3,0,3,0,0.0,0.5,1.0,38.82,0.79
581,-1,0,1,3,0,2,0,0.0,0.5,1.0,49.33,0.84
582,1,1,1,0,0,1,1170,0.393,0.2,0.61,39.67,0.68
584,1,0,1,3,0,1,1822,0.666,0.33,0.33,48.44,0.67
589,1,0,0,2,0,1,2252,0.258,0.2,0.74,40.42,0.82
590,1,1,4,0,0,1,1378,0.159,0.1,0.84,35.42,0.89
591,1,0,0,2,0,1,710,0.077,0.5,0.92,39.67,0.86
592,1,0,1,0,0,5,1430,0.185,0.25,0.81,33.73,0.73
593,-1,1,0,0,0,4,0,0.0,0.2,1.0,39.38,0.84
594,-1,1,4,0,0,1,0,0.0,0.25,1.0,51.11,0.86
595,1,0,0,2,0,2,0,0.0,0.5,1.0,32.5,0.79
596,-1,0,0,3,0,2,0,0.0,0.25,1.0,53.6,0.8
600,1,0,4,2,0,3,693,0.059,0.33,0.94,34.98,0.89
601,1,1,1,1,0,2,845,0.371,1.0,0.63,51.27,0.79
602,1,0,0,1,0,3,1113,0.275,1.0,0.73,39.04,0.71
608,1,0,3,2,0,2,2104,0.128,0.25,0.87,46.65,0.76
610,1,0,1,2,0,2,1437,0.09,0.2,0.91,32.67,0.8
613,1,0,2,0,0,1,479,0.333,0.5,0.67,48.27,1.38
615,1,0,2,2,0,3,1705,0.091,0.33,0.91,33.33,0.81
619,1,0,1,3,0,1,2517,0.303,0.25,0.7,51.76,0.69
620,1,1,3,1,0,2,2217,0.682,0.25,0.32,55.22,0.72
621,1,0,1,4,0,1,1358,0.456,0.33,0.54,54.93,0.69
624,-1,0,2,3,0,1,0,0.0,0.33,1.0,34.92,0.67
625,1,0,3,4,0,2,0,0.0,0.2,1.0,31.44,0.89
626,-1,0,4,2,0,1,0,0.0,0.12,1.0,33.48,0.64
633,1,1,1,0,1,3,2485,0.221,0.33,0.78,44.54,0.71
634,1,0,0,1,0,3,2021,0.819,0.5,0.18,39.07,0.86
635,1,0,2,3,0,2,1355,0.061,0.33,0.94,34.75,0.65
643,1,0,1,2,0,1,1133,0.788,0.25,0.21,47.2,0.67
645,1,1,0,1,0,1,1166,0.189,0.33,0.81,56.68,0.84
647,1,0,3,3,0,2,954,0.202,0.12,0.8,34.89,0.81
648,1,0,1,1,0,2,2517,0.403,0.17,0.6,36.12,0.65
652,1,0,0,2,0,2,1676,0.068,0.12,0.93,42.13,0.72
653,-1,0,1,2,0,2,900,0.033,0.2,0.97,64.6,0.75
654,1,1,2,0,0,1,1686,0.285,0.5,0.72,35.31,0.78
655,1,0,0,3,0,1,2326,0.271,0.33,0.73,39.89,1.06
662,1,0,4,3,0,1,2517,0.712,0.25,0.29,37.33,0.74
665,1,0,1,2,0,3,843,0.35,0.33,0.65,52.5,0.95
666,1,1,1,0,0,1,0,0.0,0.17,1.0,33.29,0.88
669,1,0,3,1,1,2,0,0.0,0.17,1.0,47.3,0.87
670,1,1,0,0,0,3,0,0.0,0.12,1.0,44.0,0.82
672,1,1,0,1,0,2,1468,0.515,0.33,0.48,42.04,0.81
673,1,0,1,4,0,1,1266,0.037,0.12,0.96,44.65,0.93
675,1,0,1,2,0,1,1553,0.101,0.2,0.9,47.9,0.67
676,1,0,1,1,0,1,1927,0.757,0.5,0.24,44.87,0.84
677,-1,0,1,2,0,1,0,0.0,0.25,1.0,33.54,0.88
679,1,1,0,0,0,1,1566,0.457,0.25,0.54,33.97,0.91
680,1,1,4,0,0,2,0,0.0,0.25,1.0,42.09,0.8
681,1,0,3,3,0,3,906,0.05,0.2,0.95,47.76,0.78
683,1,1,1,0,0,4,1734,0.371,0.33,0.63,36.24,0.76
684,1,1,2,0,0,1,1693,0.692,0.17,0.31,42.3,0.88
685,1,0,4,3,0,3,0,0.0,0.33,1.0,49.77,0.85
686,1,0,1,2,0,2,996,0.122,0.25,0.88,53.04,0.72
687,1,0,1,1,0,3,1571,0.345,0.5,0.66,53.43,0.57
688,1,0,0,2,0,2,984,0.051,0.5,0.95,37.72,0.59
689,-1,0,1,3,0,3,1930,0.825,0.2,0.18,52.07,0.82
695,1,0,0,2,1,1,0,0.0,0.12,1.0,32.04,0.84
697,1,0,1,2,0,2,2258,0.347,0.33,0.65,69.15,0.65
699,1,0,2,3,0,3,1665,0.139,0.25,0.86,29.78,0.77
700,1,1,0,1,0,2,0,0.0,0.25,1.0,33.83,0.8
702,1,0,2,4,0,3,1010,0.278,0.33,0.72,26.51,0.74
703,1,0,0,3,0,3,2517,0.227,0.33,0.77,48.5,0.67
704,1,0,4,3,0,3,1435,0.127,0.33,0.87,35.49,0.75
706,1,1,1,1,0,1,1543,0.745,0.2,0.26,39.53,0.64
707,1,0,0,2,0,3,1656,0.402,0.25,0.6,41.57,0.59
710,1,1,3,1,0,2,842,0.142,0.25,0.86,49.69,0.73
712,1,1,1,0,0,1,1542,0.397,0.25,0.6,40.97,1.0
714,1,0,1,2,0,3,987,0.045,0.5,0.96,66.92,0.61
719,1,0,0,1,0,3,1902,0.246,0.17,0.75,56.41,0.82
720,1,0,2,2,0,1,1847,0.101,0.33,0.9,39.09,0.61
721,1,1,2,0,0,2,1846,0.227,0.2,0.77,38.25,0.89
722,1,0,1,2,0,2,1660,0.284,0.25,0.72,41.37,0.74
723,1,0,3,2,0,3,942,0.092,0.25,0.91,31.32,0.74
729,1,0,0,2,0,3,1178,0.059,0.1,0.94,33.43,0.61
730,1,1,3,0,0,3,0,0.0,0.33,1.0,28.7,0.82
731,1,0,4,4,0,2,989,0.029,0.5,0.97,36.48,0.79
734,-1,1,2,0,0,2,392,0.051,0.2,0.95,35.74,0.53
737,1,0,2,1,0,3,1197,0.318,0.25,0.68,32.69,0.62
738,1,0,0,3,0,2,1274,0.123,0.25,0.88,34.4,0.9
739,1,0,3,4,0,1,1472,0.056,0.17,0.94,34.56,0.89
741,1,1,1,1,0,1,1864,0.594,0.5,0.41,41.44,0.69
742,1,0,1,3,0,3,0,0.0,0.17,1.0,31.21,0.84
743,1,0,1,2,0,3,1508,0.071,0.12,0.93,44.46,0.86
744,1,1,0,1,0,2,1380,0.684,0.33,0.32,32.34,0.91
745,1,0,2,2,0,2,668,0.019,0.2,0.98,25.34,0.81
746,1,0,3,2,0,3,1890,0.19,0.5,0.81,45.36,0.82
749,1,0,0,2,0,6,2404,0.078,0.2,0.92,43.17,0.77
751,1,1,1,0,0,1,2350,0.291,0.17,0.71,34.7,1.09
756,1,1,2,1,0,3,0,0.0,0.25,1.0,28.58,0.69
757,-1,0,0,3,0,3,0,0.0,0.33,1.0,31.55,0.56
761,1,0,0,2,0,3,1935,0.511,1.0,0.49,37.22,0.66
763,1,0,4,3,0,1,1581,0.473,0.2,0.53,49.84,0.9
764,-1,1,0,0,0,3,0,0.0,0.12,1.0,32.8,0.66
765,1,1,1,1,0,1,1884,0.294,0.33,0.71,35.64,0.8
766,1,0,1,2,0,2,1635,0.393,0.33,0.61,45.35,0.52
767,1,0,4,4,0,1,2144,0.099,0.5,0.9,44.1,0.83
768,1,0,3,2,0,2,1688,0.054,0.12,0.95,30.73,0.8
769,1,0,4,4,0,1,1694,0.055,0.12,0.95,55.09,0.68
